id,units,title,Date of Release,notes
CARLCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARSCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARSCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASACBW027NBOG,Billions of U.S. Dollars,"Cash Assets, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASACBW027SBOG,Billions of U.S. Dollars,"Cash Assets, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASDCBW027NBOG,Billions of U.S. Dollars,"Cash Assets, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASDCBW027SBOG,Billions of U.S. Dollars,"Cash Assets, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASFRIW027NBOG,Billions of U.S. Dollars,"Cash Assets, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASFRIW027SBOG,Billions of U.S. Dollars,"Cash Assets, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASLCBW027NBOG,Billions of U.S. Dollars,"Cash Assets, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASLCBW027SBOG,Billions of U.S. Dollars,"Cash Assets, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASSCBW027NBOG,Billions of U.S. Dollars,"Cash Assets, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CASSCBW027SBOG,Billions of U.S. Dollars,"Cash Assets, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CC4WSA,Number,4-Week Moving Average of Continued Claims (Insured Unemployment),,Insured unemployment is the number of people receiving unemployment benefits.
CCLACBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLACBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLDCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLDCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLFRIW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLFRIW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLLCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLLCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLSCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCLSCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Credit Cards and Other Revolving Plans, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CCNSA,Number,Continued Claims (Insured Unemployment),,Insured unemployment is the number of people receiving unemployment benefits.
CCSA,Number,Continued Claims (Insured Unemployment),,Insured unemployment is the number of people receiving unemployment benefits.
CD12NRJD,Percent,"National Rate on Jumbo Deposits (greater or equal to $100,000): 12 Month CD",,"The national rate is calculated by the FDIC as a simple average of rates paid (uses annual percentage yield) by all insured depository institutions and branches for which data are available. Data used to calculate the national rates are gathered by RateWatch. Savings and interest checking account rates are based on the $2,500 product tier while money market and certificate of deposit are based on the $10,000 and $100,000 product tiers for non-jumbo and jumbo accounts, respectively. Account types and maturities are those most commonly offered by the banks and branches for which data is available- no fewer than 49,000 locations and as many as 81,000 locations reported. The deposit rates of credit unions are not included in the calculation.(http://www.fdic.gov/regulations/resources/rates/)  For more information, see the FDIC's Financial Institution Letter FIL-25-2009 issued on May 29, 2009 at http://www.fdic.gov/news/news/financial/2009/fil09025.html."
