id,units,title,notes,Mean
BAMLC0A0CMEY,Percent,BofA Merrill Lynch US Corporate Master Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch US Corporate Master Index, which tracks the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have an investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $250 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index   BofA Merrill Lynch Explains the Construction Methodology of this series as:  Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000790727
BAMLC0A0CMSYTW,Percent,BofA Merrill Lynch US Corporate Master Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch US Corporate Master Index, which tracks the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have an investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $250 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index.  BofA Merrill Lynch Explains the Construction Methodology of this series as:   Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.   When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000774167
BAMLC0A1CAAA,Percent,BofA Merrill Lynch US Corporate AAA Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) of the BofA Merrill Lynch US Corporate AAA Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating AAA.  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.000101428
BAMLC0A1CAAAEY,Percent,BofA Merrill Lynch US Corporate AAA Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch US Corporate AAA Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating AAA. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000817636
BAMLC0A1CAAASYTW,Percent,BofA Merrill Lynch US Corporate AAA Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch US Corporate AAA Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating AAA. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.    Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.     Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000819706
BAMLC0A2CAA,Percent,BofA Merrill Lynch US Corporate AA Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) of the BofA Merrill Lynch US Corporate AA Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating AA.  The BofA Merrill Lynch OAS are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.000107638
BAMLC0A2CAAEY,Percent,BofA Merrill Lynch US Corporate AA Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch US Corporate AA Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating AA. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000869385
BAMLC0A2CAASYTW,Percent,BofA Merrill Lynch US Corporate AA Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch US Corporate AA Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating AA. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.     Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000875595
BAMLC0A3CA,Percent,BofA Merrill Lynch US Corporate A Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) of the BofA Merrill Lynch US Corporate A Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating A.  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.000122128
BAMLC0A3CAEY,Percent,BofA Merrill Lynch US Corporate A Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch US Corporate A Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating A. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000846616
BAMLC0A3CASYTW,Percent,BofA Merrill Lynch US Corporate A Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch US Corporate A Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating A. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.     Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000846616
BAMLC0A4CBBB,Percent,BofA Merrill Lynch US Corporate BBB Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) of the BofA Merrill Lynch US Corporate BBB Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating BBB.  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.000227696
BAMLC0A4CBBBEY,Percent,BofA Merrill Lynch US Corporate BBB Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch US Corporate BBB Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating BBB. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000709998
BAMLC0A4CBBBSYTW,Percent,BofA Merrill Lynch US Corporate BBB Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch US Corporate BBB Index, a subset of the BofA Merrill Lynch US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating BBB. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.    Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.     Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000709998
